"","id","ResourceID","GeoUnit","Geo","Period","Duration","Label1","Label2","Label3","Label4","Label5","Label6","Value","Unit","Measure","Multiplier","NullReason","Status"
"63","0925e42a-2f42-454d-8126-d023e1d831d3","CPWEE1",NA,NA,"2012-03-11","P7D","Total",NA,NA,NA,NA,NA,519,"Number","Registered deaths",0,NA,NA
"64","b1022335-2671-4a84-bb82-9e6869e9bca8","CPWEE1",NA,NA,"2012-03-18","P7D","Total",NA,NA,NA,NA,NA,500,"Number","Registered deaths",0,NA,NA
"65","2b8f1d1c-c74c-4edf-b947-3fcc9739207e","CPWEE1",NA,NA,"2012-03-25","P7D","Total",NA,NA,NA,NA,NA,546,"Number","Registered deaths",0,NA,NA
"66","e58bdcac-4687-467c-8c8b-d884efad54e6","CPWEE1",NA,NA,"2012-04-08","P7D","Total",NA,NA,NA,NA,NA,488,"Number","Registered deaths",0,NA,NA
"67","fd30ca49-6619-4a6a-b2b5-67a299623f29","CPWEE1",NA,NA,"2012-04-15","P7D","Total",NA,NA,NA,NA,NA,532,"Number","Registered deaths",0,NA,NA
"68","8183301b-f6eb-4fb9-8430-99a169e0a59b","CPWEE1",NA,NA,"2012-04-22","P7D","Total",NA,NA,NA,NA,NA,556,"Number","Registered deaths",0,NA,NA
"69","013e3471-1cae-4096-a99f-ad37f5c26a52","CPWEE1",NA,NA,"2012-04-01","P7D","Total",NA,NA,NA,NA,NA,543,"Number","Registered deaths",0,NA,NA
"70","52deb015-9bfa-4f32-9ac5-acc61a8c7f72","CPWEE1",NA,NA,"2012-06-03","P7D","Total",NA,NA,NA,NA,NA,605,"Number","Registered deaths",0,NA,NA
"71","2eb97fdd-5e7d-4bf6-bfa0-d42470aaf30f","CPWEE1",NA,NA,"2012-06-10","P7D","Total",NA,NA,NA,NA,NA,561,"Number","Registered deaths",0,NA,NA
"72","7f6bad2c-2e16-4df3-8386-d2963107931e","CPWEE1",NA,NA,"2012-04-29","P7D","Total",NA,NA,NA,NA,NA,565,"Number","Registered deaths",0,NA,NA
"73","016f101b-9f44-4342-abdc-84d76c5f81e5","CPWEE1",NA,NA,"2012-05-06","P7D","Total",NA,NA,NA,NA,NA,577,"Number","Registered deaths",0,NA,NA
"74","99da9314-ced5-49f4-b5a1-099e370b43a7","CPWEE1",NA,NA,"2012-07-01","P7D","Total",NA,NA,NA,NA,NA,643,"Number","Registered deaths",0,NA,NA
"75","4dc64d2f-c21a-4fc5-985d-1c62f66fab99","CPWEE1",NA,NA,"2012-05-13","P7D","Total",NA,NA,NA,NA,NA,562,"Number","Registered deaths",0,NA,NA
"76","97362ebb-ec64-4dda-ba51-deb01567e846","CPWEE1",NA,NA,"2012-07-15","P7D","Total",NA,NA,NA,NA,NA,717,"Number","Registered deaths",0,NA,NA
"77","806516df-ef19-40bc-bc70-447c0444cb1f","CPWEE1",NA,NA,"2012-07-22","P7D","Total",NA,NA,NA,NA,NA,696,"Number","Registered deaths",0,NA,NA
"78","c111a677-1cff-48c3-8d1a-0d1f637ad892","CPWEE1",NA,NA,"2012-05-20","P7D","Total",NA,NA,NA,NA,NA,561,"Number","Registered deaths",0,NA,NA
"79","4411556d-1429-4ee1-b915-d159b54f624d","CPWEE1",NA,NA,"2012-05-27","P7D","Total",NA,NA,NA,NA,NA,527,"Number","Registered deaths",0,NA,NA
"80","65d0b96b-25bb-4e17-af2d-dff086c22b2d","CPWEE1",NA,NA,"2012-07-29","P7D","Total",NA,NA,NA,NA,NA,654,"Number","Registered deaths",0,NA,NA
"81","54c2ca2a-3bcb-4eb8-a1f0-19885164bd53","CPWEE1",NA,NA,"2012-06-17","P7D","Total",NA,NA,NA,NA,NA,594,"Number","Registered deaths",0,NA,NA
"82","0b3efc47-73eb-4d87-82c2-ebaffbdf993a","CPWEE1",NA,NA,"2012-06-24","P7D","Total",NA,NA,NA,NA,NA,635,"Number","Registered deaths",0,NA,NA
"83","678d41ce-de4d-41d8-9f3a-c51ae43275e9","CPWEE1",NA,NA,"2012-08-05","P7D","Total",NA,NA,NA,NA,NA,661,"Number","Registered deaths",0,NA,NA
"84","17d98c7e-7d95-46c4-8a0b-004d3eadee69","CPWEE1",NA,NA,"2012-09-09","P7D","Total",NA,NA,NA,NA,NA,656,"Number","Registered deaths",0,NA,NA
"85","aab621ae-b376-4ac7-bc0b-b0171c313d80","CPWEE1",NA,NA,"2012-07-08","P7D","Total",NA,NA,NA,NA,NA,631,"Number","Registered deaths",0,NA,NA
"86","ab032bd6-afcb-4f17-8baf-ee9d330b6cd0","CPWEE1",NA,NA,"2012-08-12","P7D","Total",NA,NA,NA,NA,NA,682,"Number","Registered deaths",0,NA,NA
"87","fc04a9cf-f1da-4241-87a7-2ff5ea38f2ac","CPWEE1",NA,NA,"2012-09-23","P7D","Total",NA,NA,NA,NA,NA,606,"Number","Registered deaths",0,NA,NA
"88","df2b9322-d4d3-4a4b-b477-67eac643f33b","CPWEE1",NA,NA,"2012-08-19","P7D","Total",NA,NA,NA,NA,NA,623,"Number","Registered deaths",0,NA,NA
"89","f520f7c4-5f43-46fa-8dde-c2bde1a15b10","CPWEE1",NA,NA,"2012-09-30","P7D","Total",NA,NA,NA,NA,NA,615,"Number","Registered deaths",0,NA,NA
"90","5081dd20-5c07-4bb5-a194-746f327ac054","CPWEE1",NA,NA,"2012-08-26","P7D","Total",NA,NA,NA,NA,NA,644,"Number","Registered deaths",0,NA,NA
"91","e9b8d133-ef7d-45d6-b9d4-19bfbefccb61","CPWEE1",NA,NA,"2012-10-07","P7D","Total",NA,NA,NA,NA,NA,577,"Number","Registered deaths",0,NA,NA
"92","a952dbf9-cf5d-4c74-881b-a8d19e2a37a8","CPWEE1",NA,NA,"2012-09-02","P7D","Total",NA,NA,NA,NA,NA,620,"Number","Registered deaths",0,NA,NA
"93","9977928a-677d-40c3-a860-fe80c8dc1b18","CPWEE1",NA,NA,"2012-09-16","P7D","Total",NA,NA,NA,NA,NA,636,"Number","Registered deaths",0,NA,NA
"94","4709554e-65b7-45ec-830b-63f810dce46b","CPWEE1",NA,NA,"2012-11-11","P7D","Total",NA,NA,NA,NA,NA,581,"Number","Registered deaths",0,NA,NA
"95","733f8b83-6282-4d51-bbc6-f5cb7a61b02c","CPWEE1",NA,NA,"2012-10-14","P7D","Total",NA,NA,NA,NA,NA,575,"Number","Registered deaths",0,NA,NA
"96","ca0aad1b-99a0-4723-a6c2-5cf36707e891","CPWEE1",NA,NA,"2012-10-21","P7D","Total",NA,NA,NA,NA,NA,616,"Number","Registered deaths",0,NA,NA
"97","fcfec788-8d68-41c8-948f-2fd1cc9c1ba3","CPWEE1",NA,NA,"2012-11-25","P7D","Total",NA,NA,NA,NA,NA,564,"Number","Registered deaths",0,NA,NA
"98","0fbac75d-78ef-4226-bf7f-1078cee69bb1","CPWEE1",NA,NA,"2012-10-28","P7D","Total",NA,NA,NA,NA,NA,579,"Number","Registered deaths",0,NA,NA
"99","65975ff6-4069-4785-92e1-bf41e86026bd","CPWEE1",NA,NA,"2012-12-09","P7D","Total",NA,NA,NA,NA,NA,547,"Number","Registered deaths",0,NA,NA
"100","09c88dd7-c573-44ff-834c-c634d9af94bc","CPWEE1",NA,NA,"2012-12-23","P7D","Total",NA,NA,NA,NA,NA,567,"Number","Registered deaths",0,NA,NA
"101","94482894-03d1-4fb0-be9a-5d62d91114dd","CPWEE1",NA,NA,"2012-11-04","P7D","Total",NA,NA,NA,NA,NA,593,"Number","Registered deaths",0,NA,NA
"102","88350ea3-27ef-4cea-a27c-ee526a6a6050","CPWEE1",NA,NA,"2012-11-18","P7D","Total",NA,NA,NA,NA,NA,542,"Number","Registered deaths",0,NA,NA
"103","ea73398d-57a5-419c-a8ed-d3ca0e4ee483","CPWEE1",NA,NA,"2012-12-02","P7D","Total",NA,NA,NA,NA,NA,552,"Number","Registered deaths",0,NA,NA
"104","e17c3430-2d84-4b52-93c9-b7ba18e3baf8","CPWEE1",NA,NA,"2012-12-16","P7D","Total",NA,NA,NA,NA,NA,540,"Number","Registered deaths",0,NA,NA
"105","e445e0e3-53f4-4a24-a938-00ecedd5a61c","CPWEE1",NA,NA,"2012-12-30","P7D","Total",NA,NA,NA,NA,NA,525,"Number","Registered deaths",0,NA,NA
"106","e7b24623-105c-4fe0-a3d6-87aedc28147d","CPWEE1",NA,NA,"2013-01-13","P7D","Total",NA,NA,NA,NA,NA,561,"Number","Registered deaths",0,NA,NA
"107","92ceb216-a79c-4d38-abe8-8592cd294386","CPWEE1",NA,NA,"2013-01-06","P7D","Total",NA,NA,NA,NA,NA,568,"Number","Registered deaths",0,NA,NA
