"Week","Label1","mean_deaths_per_capita","Period","deaths_per_capita","weekly_pop","Year","weekly_excess_rate","weekly_excess_number"
27,"80 and over",0.00212503188435972,2020-07-05,0.00165617629915784,185366.739130435,2020,-0.000468855585201879,-86.910230951964
27,"80 and over",0.00212503188435972,2021-07-04,0.00177677554756748,194734.782608696,2021,-0.000348256336792234,-67.8176220373364
28,"Under 30",9.77280394675081e-06,2011-07-10,1.05110284019052e-05,1807625.2173913,2011,7.38224455154355e-07,1.33443314123197
28,"Under 30",9.77280394675081e-06,2012-07-08,7.19026029944669e-06,1808001.30434783,2012,-2.58254364730412e-06,-4.66924228286105
28,"Under 30",9.77280394675081e-06,2013-07-14,7.71557237326693e-06,1814512.17391304,2013,-2.05723157348388e-06,-3.73287173464478
28,"Under 30",9.77280394675081e-06,2014-07-13,1.5189915217158e-05,1843328.26086957,2014,5.41711127040719e-06,9.98551429701661
28,"Under 30",9.77280394675081e-06,2015-07-12,1.00926701117238e-05,1882554.34782609,2015,3.1986616497297e-07,0.602165439592322
28,"Under 30",9.77280394675081e-06,2016-07-10,9.35425477939719e-06,1924258.04347826,2016,-4.18549167353624e-07,-0.80539660187134
28,"Under 30",9.77280394675081e-06,2017-07-09,1.17552995512542e-05,1956564.34782609,2017,1.98249560450341e-06,3.87888021949329
28,"Under 30",9.77280394675081e-06,2018-07-15,9.11067539538323e-06,1975704.23913043,2018,-6.62128551367579e-07,-1.30817018578622
28,"Under 30",9.77280394675081e-06,2019-07-14,8.55111989599564e-06,1988043.69565217,2019,-1.22168405075517e-06,-2.42876127518263
28,"Under 30",9.77280394675081e-06,2020-07-12,1.04620092602861e-05,2007262.60869565,2020,6.89205313535317e-07,1.38341605557381
28,"Under 30",9.77280394675081e-06,2021-07-11,8.06399083509911e-06,1984129.23913043,2021,-1.7088131116517e-06,-3.39050605903759
28,"30 to 59",3.90145596478212e-05,2011-07-10,3.41264687364452e-05,1758166.08695652,2011,-4.88809091137599e-06,-8.59407567034166
28,"30 to 59",3.90145596478212e-05,2012-07-08,4.03880817318251e-05,1757944.34782609,2012,1.37352208400389e-06,2.41457538418895
28,"30 to 59",3.90145596478212e-05,2013-07-14,4.31315743727878e-05,1762050.2173913,2013,4.1170147249666e-06,7.25438669113059
28,"30 to 59",3.90145596478212e-05,2014-07-13,3.75962183230208e-05,1782094.13043478,2014,-1.41834132480043e-06,-2.52761774987993
28,"30 to 59",3.90145596478212e-05,2015-07-12,3.5923873107749e-05,1809381.73913043,2015,-3.09068654007219e-06,-5.59223178698285
28,"30 to 59",3.90145596478212e-05,2016-07-10,3.85177710688139e-05,1843305,2016,-4.96788579007327e-07,-0.915732871627101
28,"30 to 59",3.90145596478212e-05,2017-07-09,4.78458669665316e-05,1881040.2173913,2017,8.83130731871036e-06,16.6120442386364
28,"30 to 59",3.90145596478212e-05,2018-07-15,3.74789753641936e-05,1921077.06521739,2018,-1.5355842836276e-06,-2.94997574898526
28,"30 to 59",3.90145596478212e-05,2019-07-14,3.5306311731818e-05,1954324.7826087,2019,-3.70824791600325e-06,-7.2471208023022
28,"30 to 59",3.90145596478212e-05,2020-07-12,3.34942768474778e-05,2000341.73913043,2020,-5.52028280034343e-06,-11.0424520973308
28,"30 to 59",3.90145596478212e-05,2021-07-11,3.6225716202259e-05,2015143.04347826,2021,-2.7888434455622e-06,-5.61991846867461
28,"60 to 79",0.000284864531452632,2011-07-10,0.000325258248271556,667162.173913043,2011,4.03937168189241e-05,26.9491599253413
28,"60 to 79",0.000284864531452632,2012-07-08,0.000278983202254609,688213.47826087,2012,-5.8813291980235e-06,-4.04761002416897
28,"60 to 79",0.000284864531452632,2013-07-14,0.000322075765159254,711012.826086957,2013,3.72112337066215e-05,26.4576644399272
28,"60 to 79",0.000284864531452632,2014-07-13,0.000303666586048092,734358.043478261,2014,1.88020545954599e-05,13.8074400260934
28,"60 to 79",0.000284864531452632,2015-07-12,0.000303193736212279,758590.869565217,2015,1.83292047596468e-05,13.9043673770594
28,"60 to 79",0.000284864531452632,2016-07-10,0.000257643773932284,784028.260869565,2016,-2.72207575203484e-05,-21.3418431782309
28,"60 to 79",0.000284864531452632,2017-07-09,0.000281675199328577,809442.934782609,2017,-3.18933212405489e-06,-2.58158235449144
28,"60 to 79",0.000284864531452632,2018-07-15,0.000256360976255098,834760.434782609,2018,-2.85035551975339e-05,-23.7936401295435
28,"60 to 79",0.000284864531452632,2019-07-14,0.000325448971534923,863422.608695652,2019,4.05844400822903e-05,35.0415231283035
28,"60 to 79",0.000284864531452632,2020-07-12,0.000229369012527189,898116.086956522,2020,-5.54955189254438e-05,-49.8414183009412
28,"60 to 79",0.000284864531452632,2021-07-11,0.000284398113467343,921243.804347826,2021,-4.66417985289086e-07,-0.429684679183966
28,"80 and over",0.00222408406389363,2011-07-10,0.00198153278988826,151902.608695652,2011,-0.00024255127400537,-36.8441712638696
28,"80 and over",0.00222408406389363,2012-07-08,0.00229696541751883,154551.739130435,2012,7.28813536251993e-05,11.2639399529548
28,"80 and over",0.00222408406389363,2013-07-14,0.00212844362062612,156922.173913043,2013,-9.56404432675075e-05,-15.0081062715444
28,"80 and over",0.00222408406389363,2014-07-13,0.00224922071836524,160055.434782609,2014,2.51366544716126e-05,4.02325816043416
28,"80 and over",0.00222408406389363,2015-07-12,0.00218652255880715,162358.260869565,2015,-3.75615050864806e-05,-6.09842064148433
28,"80 and over",0.00222408406389363,2016-07-10,0.00206685348751966,165468.913043478,2016,-0.00015723057637397,-26.0167725698004
28,"80 and over",0.00222408406389363,2017-07-09,0.00234660922953255,168754.130434783,2017,0.000122525165638918,20.6766277837733
28,"80 and over",0.00222408406389363,2018-07-15,0.00210491815677846,172453.260869565,2018,-0.000119165907115169,-20.5505492664906
28,"80 and over",0.00222408406389363,2019-07-14,0.00241551688683033,177601.739130435,2019,0.000191432822936701,33.9988022802067
28,"80 and over",0.00222408406389363,2020-07-12,0.00174056267806268,185572.173913043,2020,-0.00048352138583095,-89.7281147020968
28,"80 and over",0.00222408406389363,2021-07-11,0.00201659299747619,194883.152173913,2021,-0.000207491066417437,-40.4365130713568
29,"Under 30",7.59290617674943e-06,2011-07-17,1.10631041867837e-05,1807810.86956522,2011,3.47019801003425e-06,6.2734616820835
29,"Under 30",7.59290617674943e-06,2012-07-15,1.76978063496892e-05,1808133.69565217,2012,1.01049001729397e-05,18.2710104938938
29,"Under 30",7.59290617674943e-06,2013-07-21,1.21216244509934e-05,1814938.26086957,2013,4.52871827424399e-06,8.21934406862461
29,"Under 30",7.59290617674943e-06,2014-07-20,7.04919014471351e-06,1844183.47826087,2014,-5.43716032035924e-07,-1.00271212314621
29,"Under 30",7.59290617674943e-06,2015-07-19,5.84022146673815e-06,1883490.2173913,2015,-1.75268471001128e-06,-3.30116450547757
29,"Under 30",7.59290617674943e-06,2016-07-17,6.75305495275882e-06,1925054.67391304,2016,-8.39851223990608e-07,-1.61675952413471
29,"Under 30",7.59290617674943e-06,2017-07-16,9.70852864249221e-06,1957042.17391304,2017,2.11562246574278e-06,4.14036238953652
29,"Under 30",7.59290617674943e-06,2018-07-22,1.16396748328117e-05,1976000.2173913,2018,4.04676865606226e-06,7.99641574411134
29,"Under 30",7.59290617674943e-06,2019-07-21,4.02305098894628e-06,1988540.54347826,2019,-3.56985518780315e-06,-7.09880177529276
29,"Under 30",7.59290617674943e-06,2020-07-19,7.47461757987807e-06,2006791.63043478,2020,-1.18288596871363e-07,-0.237380566177325
29,"Under 30",7.59290617674943e-06,2021-07-18,9.57804965265323e-06,1983702.39130435,2021,1.9851434759038e-06,3.9379338602326
29,"30 to 59",3.67140433244674e-05,2011-07-17,3.64011885779401e-05,1758184.34782609,2011,-3.12854746527347e-07,-0.55005631848748
29,"30 to 59",3.67140433244674e-05,2012-07-15,4.20941102623314e-05,1757965.65217391,2012,5.38006693786395e-06,9.45797288316131
29,"30 to 59",3.67140433244674e-05,2013-07-21,3.57476151758125e-05,1762355.32608696,2013,-9.66428148654975e-07,-1.70318979506245
29,"30 to 59",3.67140433244674e-05,2014-07-20,3.98296471600584e-05,1782591.73913043,2014,3.11560383559092e-06,5.55384965972747
29,"30 to 59",3.67140433244674e-05,2015-07-19,3.75686749793766e-05,1810018.58695652,2015,8.54631654909126e-07,1.54689918038693
29,"30 to 59",3.67140433244674e-05,2016-07-17,4.01296621922997e-05,1844022.5,2016,3.41561886783228e-06,6.29847804370725
29,"30 to 59",3.67140433244674e-05,2017-07-16,3.71983754706981e-05,1881802.60869565,2017,4.84332146230642e-07,0.911417496251986
29,"30 to 59",3.67140433244674e-05,2018-07-22,3.79865327673438e-05,1921733.69565217,2018,1.27248944287637e-06,2.44538583973718
29,"30 to 59",3.67140433244674e-05,2019-07-21,3.0686971212619e-05,1955227.17391304,2019,-6.02707211184842e-06,-11.7842951722195
29,"30 to 59",3.67140433244674e-05,2020-07-19,3.24877994188052e-05,2000751.08695652,2020,-4.22624390566221e-06,-8.45566208799704
29,"30 to 59",3.67140433244674e-05,2021-07-18,3.07634225925626e-05,2015380.43478261,2021,-5.9506207319048e-06,-11.9927645978927
29,"60 to 79",0.000292801631006466,2011-07-17,0.00027263928637025,667548.695652174,2011,-2.01623446362162e-05,-13.4593468631957
29,"60 to 79",0.000292801631006466,2012-07-15,0.000323828308491133,688636.52173913,2012,3.10266774846667e-05,21.3661032641627
29,"60 to 79",0.000292801631006466,2013-07-21,0.000310635729189568,711444.239130435,2013,1.78340981831017e-05,12.6879664124542
29,"60 to 79",0.000292801631006466,2014-07-20,0.000287151437621039,734803.913043478,2014,-5.65019338542698e-06,-4.15178420906412
29,"60 to 79",0.000292801631006466,2015-07-19,0.000285874050171154,759075.543478261,2015,-6.92758083531279e-06,-5.25855718755464
29,"60 to 79",0.000292801631006466,2016-07-17,0.000302088601018323,784538.043478261,2016,9.28697001185654e-06,7.28598128294321
29,"60 to 79",0.000292801631006466,2017-07-16,0.00027779999581287,809935.217391304,2017,-1.50016351935967e-05,-12.1503526617508
29,"60 to 79",0.000292801631006466,2018-07-22,0.00031006404277291,835311.304347826,2018,1.72624117664442e-05,14.4194876888177
29,"60 to 79",0.000292801631006466,2019-07-21,0.000288181465257075,864038.913043478,2019,-4.62016574939131e-06,-3.99200299218478
29,"60 to 79",0.000292801631006466,2020-07-19,0.000267075795820554,898621.304347826,2020,-2.57258351859122e-05,-23.1177835702016
29,"60 to 79",0.000292801631006466,2021-07-18,0.000275578321769532,921698.043478261,2021,-1.72233092369346e-05,-15.8746904259037
29,"80 and over",0.00225468336258062,2011-07-17,0.00204047466076751,151925.434782609,2011,-0.000214208701813107,-32.5437501571744
29,"80 and over",0.00225468336258062,2012-07-15,0.00251046142809922,154553.260869565,2012,0.000255778065518603,39.5313340848094
29,"80 and over",0.00225468336258062,2013-07-21,0.0021406283109728,156963.260869565,2013,-0.000114055051607819,-17.9024528190098
29,"80 and over",0.00225468336258062,2014-07-20,0.00210534035566155,160069.130434783,2014,-0.000149343006919069,-23.9052052540511
29,"80 and over",0.00225468336258062,2015-07-19,0.00236523965391766,162351.413043478,2015,0.000110556291337046,17.9489701194158
29,"80 and over",0.00225468336258062,2016-07-17,0.00219935388068926,165503.152173913,2016,-5.53294818913617e-05,-9.1572036611698
29,"80 and over",0.00225468336258062,2017-07-16,0.00228741330090384,168749.565217391,2017,3.27299383232182e-05,5.5231628616351
29,"80 and over",0.00225468336258062,2018-07-22,0.00206347166254628,172524.782608696,2018,-0.000191211700034341,-32.9887569806639
29,"80 and over",0.00225468336258062,2019-07-21,0.00235793831484606,177697.608695652,2019,0.000103254952265439,18.3481581035523
29,"80 and over",0.00225468336258062,2020-07-19,0.00200777694695738,185777.608695652,2020,-0.000246906415623233,-45.8696834660991
29,"80 and over",0.00225468336258062,2021-07-18,0.00218938967502466,195031.52173913,2021,-6.52936875559554e-05,-12.7343272439973
30,"Under 30",9.56054400872909e-06,2011-07-24,1.2721263411434e-05,1807996.52173913,2011,3.16071940270495e-06,5.71456968628392
30,"Under 30",9.56054400872909e-06,2012-07-22,1.27193670035095e-05,1808266.08695652,2012,3.1588229947804e-06,5.71199249615983
